,#,Code,District,Headquarters,Population,Area,Density
58,1,BK,Bagalkot,Bagalkote,1890826.0,6583.0,288.0
59,2,BL,Ballari,Ballari,1400970.0,4252.0,330.0
60,3,BG,Belagavi,Belgaum,4778439.0,13415.0,356.0
61,4,BR,Bangalore Rural,Bangalore,987257.0,2239.0,441.0
62,5,BN,Bangalore Urban,Bangalore,9588910.0,2190.0,4378.0
63,6,BD,Bidar,Bidar,1700018.0,5448.0,312.0
64,7,CJ,Chamarajanagar,Chamarajanagar,1020962.0,5102.0,200.0
65,8,CK,Chikkaballapur,Chikkaballapur,1254377.0,4208.0,298.0
66,9,CK,Chikmagalur,Chikmagalur,1137753.0,7201.0,158.0
67,10,CT,Chitradurga,Chitradurga,1660378.0,8437.0,197.0
68,11,DK,Dakshina Kannada,Mangalore,2083625.0,4559.0,457.0
69,12,DA,Davanagere,Davangere,1643494.0,4460.0,370.0
70,13,DH,Dharwad,Dharwad,1846993.0,4265.0,434.0
71,14,GA,Gadaga,Gadag-Betageri,1065235.0,4651.0,229.0
72,15,GU,Kalaburagi,Kalaburagi,2564892.0,10990.0,233.0
73,16,HS,Hassan,Hassan,1776221.0,6814.0,261.0
74,17,HV,Haveri,Haveri,1598506.0,4825.0,331.0
75,18,KD,Kodagu,Madikeri,554762.0,4102.0,135.0
76,19,KL,Kolar,Kolar,1540231.0,4012.0,384.0
77,20,KP,Koppal,Koppal,1391292.0,5565.0,250.0
78,21,MA,Mandya,Mandya,1808680.0,4961.0,365.0
79,22,MY,Mysore,Mysore,2994744.0,6854.0,437.0
80,23,RA,Raichur,Raichur,1924773.0,6839.0,228.0
81,24,RM,Ramanagara,Ramanagara,1082739.0,3573.0,303.0
82,25,SH,Shimoga,Shimoga,1755512.0,8495.0,207.0
83,26,TU,Tumakuru,Tumakuru,2681449.0,10598.0,253.0
84,27,UD,Udupi,Udupi,1177908.0,3879.0,304.0
85,28,UK,Uttara Kannada,Karwar,1353299.0,10291.0,132.0
86,29,,Vijayanagara,Hospete,1353628.0,5644.0,240.0
87,30,BJ,Bijapur,Bijapur,2175102.0,10517.0,207.0
88,31,YG,Yadgir,Yadgir,1172985.0,5225.0,224.0
89,1,AL,Alappuzha,Alappuzha,2121943.0,1415.0,1501.0
90,2,ER,Ernakulam,Kakkanad,3279860.0,3063.0,1069.0
91,3,ID,Idukki,Painavu,1107453.0,4356.0,254.0
92,4,KN,Kannur,Kannur,2525637.0,2961.0,852.0
93,5,KS,Kasaragod,Kasaragod,1302600.0,1989.0,654.0
94,6,KL,Kollam,Kollam,2629703.0,2483.0,1056.0
95,7,KT,Kottayam,Kottayam,1979384.0,2206.0,896.0
96,8,KZ,Kozhikode,Kozhikode,3089543.0,2345.0,1318.0
97,9,MA,Malappuram,Malappuram,4110956.0,3554.0,1058.0
98,10,PL,Palakkad,Palakkad,2810892.0,4482.0,627.0
99,11,PT,Pathanamthitta,Pathanamthitta,1195537.0,2652.0,453.0
100,13,TV,Thiruvananthapuram,Thiruvananthapuram,3307284.0,2189.0,1509.0
101,12,TS,Thrissur,Thrissur,3110327.0,3027.0,1026.0
102,14,WA,Wayanad,Kalpetta,816558.0,2130.0,383.0
103,1,AG,Agar Malwa,Agar,571275.0,2785.0,205.0
104,2,AL,Alirajpur,Alirajpur,728677.0,3182.0,229.0
105,3,AP,Anuppur,Anuppur,749521.0,3747.0,200.0
106,4,AS,Ashoknagar,Ashoknagar,844979.0,4674.0,181.0
107,5,BL,Balaghat,Balaghat,1701156.0,9229.0,184.0
108,6,BR,Barwani,Barwani,1385659.0,5432.0,256.0
109,7,BE,Betul,Betul,1575247.0,10043.0,157.0
110,8,BD,Bhind,Bhind,1703562.0,4459.0,382.0
111,9,BP,Bhopal,Bhopal,2368145.0,2772.0,854.0
112,10,BU,Burhanpur,Burhanpur,756993.0,3427.0,221.0
113,11,CT,Chhatarpur,Chhatarpur,1762857.0,8687.0,203.0
114,12,CN,Chhindwara,Chhindwara,2090306.0,11815.0,177.0
115,13,DM,Damoh,Damoh,1263703.0,7306.0,173.0
116,14,DT,Datia,Datia,786375.0,2694.0,292.0
117,15,DE,Dewas,Dewas,1563107.0,7020.0,223.0
118,16,DH,Dhar,Dhar,2184672.0,8153.0,268.0
119,17,DI,Dindori,Dindori,704218.0,7427.0,94.0
120,18,GU,Guna,Guna,1240938.0,6485.0,194.0
121,19,GW,Gwalior,Gwalior,2030543.0,5465.0,445.0
122,20,HA,Harda,Harda,570302.0,3339.0,171.0
123,21,,Hoshangabad,Hoshangabad,1240975.0,6698.0,185.0
124,22,IN,Indore,Indore,3272335.0,3898.0,839.0
125,23,JA,Jabalpur,Jabalpur,2460714.0,5210.0,472.0
126,24,JH,Jhabua,Jhabua,1024091.0,6782.0,285.0
127,25,KA,Katni,Katni,1291684.0,4947.0,261.0
128,26,EN,Khandwa,Khandwa,1309443.0,7349.0,178.0
129,27,WN,Khargone,Khargone,1872413.0,8010.0,233.0
130,28,MH,Maihar,Maihar,,,
131,29,ML,Mandla,Mandla,1053522.0,5805.0,182.0
132,30,MS,Mandsaur,Mandsaur,1339832.0,5530.0,242.0
133,31,MG,Mauganj,Mauganj,,,
134,32,MO,Morena,Morena,1965137.0,4991.0,394.0
135,33,,Narsinghpur,Narsinghpur,1092141.0,5133.0,213.0
136,34,NE,Neemuch,Neemuch,825958.0,4267.0,194.0
137,35,–,Niwari,Niwari,404807.0,1170.0,345.0
138,36,PA,Panna,Panna,1016028.0,7135.0,142.0
139,37,PD,Pandhurna,Pandhurna,,,
140,38,RS,Raisen,Raisen,1331699.0,8466.0,157.0
141,39,RG,Rajgarh,Rajgarh,1546541.0,6143.0,251.0
142,40,RL,Ratlam,Ratlam,1454483.0,4861.0,299.0
143,41,RE,Rewa,Rewa,2363744.0,6314.0,374.0
144,42,SG,Sagar,Sagar,2378295.0,10252.0,272.0
145,43,ST,Satna,Satna,2228619.0,7502.0,297.0
146,44,SR,Sehore,Sehore,1311008.0,6578.0,199.0
147,45,SO,Seoni,Seoni,1378876.0,8758.0,157.0
148,46,SH,Shahdol,Shahdol,1064989.0,6205.0,172.0
149,47,SJ,Shajapur,Shajapur,1512353.0,6196.0,244.0
150,48,SP,Sheopur,Sheopur,687952.0,6585.0,104.0
151,49,SV,Shivpuri,Shivpuri,1725818.0,10290.0,168.0
152,50,SI,Sidhi,Sidhi,1126515.0,10520.0,232.0
153,51,SN,Singrauli,Waidhan,1178132.0,5672.0,208.0
154,52,TI,Tikamgarh,Tikamgarh,1444920.0,5055.0,286.0
155,53,UJ,Ujjain,Ujjain,1986864.0,6091.0,356.0
156,54,UM,Umaria,Umaria,643579.0,4062.0,158.0
157,55,VI,Vidisha,Vidisha,1458212.0,7362.0,198.0
158,1,AH,Ahmednagar,Ahmednagar,4543083.0,17048.0,266.0
159,2,AK,Akola,Akola,1818617.0,5429.0,321.0
160,3,AM,Amravati,Amravati,2887826.0,12235.0,237.0
161,4,AU,Aurangabad,Aurangabad,3695928.0,10107.0,365.0
162,5,BI,Beed,Beed,2585962.0,10693.0,242.0
163,6,BH,Bhandara,Bhandara,1198810.0,3890.0,293.0
164,7,BU,Buldhana,Buldhana,2588039.0,9661.0,268.0
165,8,CH,Chandrapur,Chandrapur,2194262.0,11443.0,192.0
166,9,OS,Osmanabad,Osmanabad,1660311.0,7569.0,219.0
167,10,DH,Dhule,Dhule,2048781.0,8095.0,285.0
168,11,GA,Gadchiroli,Gadchiroli,1071795.0,14412.0,74.0
169,12,GO,Gondia,Gondia,1322331.0,5431.0,253.0
170,13,HI,Hingoli,Hingoli,1178973.0,4526.0,244.0
171,14,JG,Jalgaon,Jalgaon,4224442.0,11765.0,359.0
172,15,JN,Jalna,Jalna,1958483.0,7718.0,255.0
173,16,KO,Kolhapur,Kolhapur,3874015.0,7685.0,504.0
174,17,LA,Latur,Latur,2455543.0,7157.0,343.0
175,18,MC,Mumbai City,Mumbai,3145966.0,157.0,20036.0
176,19,MU,Mumbai Suburban,Bandra (East),9332481.0,446.0,21000.0
177,20,ND,Nanded,Nanded,3356566.0,10528.0,319.0
178,21,NB,Nandurbar,Nandurbar,1646177.0,5055.0,276.0
179,22,NG,Nagpur,Nagpur,4653171.0,9892.0,470.0
180,23,NS,Nashik,Nashik,6109052.0,15539.0,393.0
181,24,PL,Palghar,Palghar,2990116.0,5344.0,560.0
182,25,PA,Parbhani,Parbhani,1835982.0,6511.0,295.0
