Hospital Name,Address,CITY,STATE,PPN / NON PPN
Sparsh Hospital(Jaip),"Asind Nagar, Near Sanganer Road,,Chouradiya Petrol 
Pump,,Sanganer,",Jaipur,RAJASTHAN,PPN
Swastik Multispeciality Hospital,"Near Congress Office, N.H. 8,Dudu,NIL",JAIPUR,RAJASTHAN,NON PPN
T.K. Hospital,"Moti Doongri Road,,Jaipur",Jaipur,RAJASTHAN,NON PPN
"The Royal Orthopaedic Hospital And 
Sports Injury Center (Jaipur)","B/73-A,Lalkothi,Scheme,Sahakar Marg,,",Jaipur,RAJASTHAN,PPN
"Shalby Hospital, Jaipur","Gandhi Path, Sector-3, Chitrakoot, Jaipur, Rajasthan 
302021nil",JAIPUR,RAJASTHAN,PPN
Rajat Maternity And General Hospital,"143, Sirshi Road, Engineer Colony, Panchyawala, Jaipur, 
Rajasthan 302034Rajasthan",JAIPUR,RAJASTHAN,NON PPN
HCG Hospital,"Shipra Path, Mansarovar Sector 5, Mansarovar, Jaipur, 
Rajasthan 302020Jaipur",JAIPUR,RAJASTHAN,PPN
"Dana Shivam Heart And Super Speciality 
Hospital","2-Opp Times, Squar,Sec-2, Vidyadhar Nagarnil",JAIPUR,RAJASTHAN,NON PPN
Shivam Super Speciality Hospital,"268,Sec-26,Adjoining with bhartiya vidya bhawan 
school,Pratap NagarNear NRI Circle",JAIPUR,RAJASTHAN,NON PPN
Agrawal Heart & General Hospital,"H-1-58, Old RIICO, Link Road, Bagru",JAIPUR,RAJASTHAN,NON PPN
Indus Jaipur Hospital,"Sec-5,B-Block,Shipra Path,Mansarover,Near Technology 
Park",JAIPUR,RAJASTHAN,NON PPN
Maxwell Hospital,"Subhash Nagar Shoping Center,Main Jhotwara Road,Near 
Peetal Factory,Opp. Khandaka Marriage Garden,",JAIPUR,RAJASTHAN,NON PPN
"Maharaja Agrasen Superspeciality 
Hospital","Central Spine,Sec-7,Vidhyadhar Nagar,Agrasen Aspatal 
Marg,",JAIPUR,RAJASTHAN,NON PPN
Adinath Ent & General Hospital,"B-102a, Udai Marg, Tilak Nagar, Raja park,Behind LBS 
College,",JAIPUR,RAJASTHAN,NON PPN
Kandoi Hospital,"98-99, Mohru Vihar,Mukundpura Road,Bhankrota,Ajmer 
Road,Radhika garden,",JAIPUR,RAJASTHAN,NON PPN
CKS Hospitals,"F 98A,VKIA, Road No.6 Main, Sikar Road",JAIPUR,RAJASTHAN,PPN
SCR Superspeciality Hospital SCR,"S-1,Opp Mosaic Hotel, RFC Colony, Sirsi Road,Vaishali 
nagar,",JAIPUR,RAJASTHAN,NON PPN
"Shri Ram Hospital(Shri Ram Super 
Speciality Surgical Centre Pvt Ltd)(Jalore)","Plot No.14, Ladhu Udyog Vihar,Bhinmal Road,",JALORE CITY,RAJASTHAN,NON PPN
Metro Hospital and Trauma centre,"Road No -3, Dist Jhunjhunu, Delhi-Jaipur Highway 
Road,Near Golai Mode,Gudha Mode,",JHUNJHUNU,RAJASTHAN,NON PPN
R And R Multispeciality Hospital,"23,Churu Road,Near Bandhe ka Balaji,",JHUNJHUNU,RAJASTHAN,NON PPN
Ravindra Hospital,"Near Railway Station,Sikar Road,Nil",JHUNJHUNU,RAJASTHAN,NON PPN
Oxford Hospital,"Sagira Circle,Churu-Bypass Road,nil",JHUNJHUNU,RAJASTHAN,NON PPN
