Hospital Name,Address,CITY,STATE,PPN / NON PPN
Amrut Hospitaland Research Centre,"Alandi Markel Road, Infront Of Tjsb Bank,,Markal Road,,Tal - 
KhedNIL",PUNE,MAHARASHTRA,PPN
Anand Hospital Chakan,"Balaji Tower,Mahatma Phule Chowk,,Tal Khed Balaji 
Tower,ChakanNIL",PUNE,MAHARASHTRA,PPN
Anand Hospital (Pune),"P M T Terminus,,Pune Nasik Road,,Bhosari",Pune,MAHARASHTRA,PPN
Ankur Multispeciality Hospital-Pune,"Sr No 40,,Keshav Nagar,,MundwaPune",PUNE,MAHARASHTRA,PPN
Astha Hospital (Pcmc),"Malu Trade Centre, Plot No 25,,Near Lok Seva Petrol Pump, 
Spine Road, Pcntdc,Near Tata Motors,NIL",PUNE,MAHARASHTRA,PPN
Care Multispeciality Hospital,"Pune Nagar Road, Kolte Arcade,Wagholi, Haveli(Tal),NIL",PUNE,MAHARASHTRA,PPN
Chaitanya Superspeciality Hospital,"Bhoir Colony, Near Ramkrishna More Sabhagruh,,Opp Of 
Tata Motors Gate,",Pune,MAHARASHTRA,PPN
Chavan Hospital,"54, Stadium Road, Vastu Udyog, Ajmera, Pimpri,Chavan 
Hospital Bus StopNIL",PUNE,MAHARASHTRA,PPN
Columbia Asia Hospital Pvt Ltd,"22/ 2a, Near Nyati Empire,,Near Nyati Empire, Ahead Of 
Hotel Radisson,,Kharadi Bypass Road,",Pune,MAHARASHTRA,PPN
Deenanath Mangeshkar Hospital,"8/13- 2, Erandwane,,Near Himalya Society,,Erandwane,NIL",PUNE,MAHARASHTRA,PPN
Deendayal Memorial Hospital,"926, Fergusson College Road,,,PuneNIL",PUNE,MAHARASHTRA,PPN
Dr Khade Superspeciality Hospital-Pune,"Bija Complex, 1st Floor, Near Chakan S.T Stand,,Old Pune-
Nashik Road, Tal K,Off Holkar Marg Tidke ColonyNIL",PUNE,MAHARASHTRA,PPN
Golden Care Hospital,"S.No. 117/3, Bhumkar Wasti,,Hinjewadi Road, Wakad,,",Pune,MAHARASHTRA,PPN
Hardikar Hospital,"1160/61,Ganeshkhind Road,,Shivaji Nagar,,Pune",Pune,MAHARASHTRA,PPN
Imax Multyspeciality Hospital,"Pune-Nagar Road Kesanand Phata Chowk,,Sant Tukaram 
Nagar,Tal Haweli,,Waqgholi",Pune,MAHARASHTRA,PPN
Inlaks And Budhrani Hospital,"Sadhu Vaswani Medical Complex,,7-9, Koregaon 
Park,,PuneNIL",PUNE,MAHARASHTRA,PPN
"Jehangir Hospital And Medical Research 
Centre","32, Sassoon Road I,,NIL",PUNE,MAHARASHTRA,PPN
Kedarnath General Hospital,"1st Floor, Tirupati Complex,,Opposite Mahalaxmi Vihar, 
Pune - Alandi Road,Vishrantwadi,",Pune,MAHARASHTRA,PPN
Kem Hospital (Pune),"489,Sardar Moodliar Road,,Rasta Peth,PuneNIL",PUNE,MAHARASHTRA,PPN
Khaire Hospital,"Chaphekar Chowk, Station Road, 
Chinchwadgaon,,ChinchwadgaonNIL",PUNE,MAHARASHTRA,PPN
Lifepoint Multispeciality Hospital,"145/ 1, Mumbai-Bengaluru Highway,,Near Hotel 
Sayaji,,Wakad",Pune,MAHARASHTRA,PPN
Lokmanya Hospital(Chincwad),"Near Chinchwad Railway Station,,Sr No. 314/B,Telco 
Road,,ChinchwadNIL",PUNE,MAHARASHTRA,PPN
"Mankikar Hospital For Children And 
Laboratory","D M Chambers, Above Repee Co-Op Bank,,Pune Nashik 
Road,,BhosariNIL",PUNE,MAHARASHTRA,PPN
"Maxcare Hospital Multi Speciality And 
Critical Care Centre","Pimple Saudagar,,Opp Hotel Swaraj Garden,,Seeta 
Plaza,NIL",PUNE,MAHARASHTRA,PPN
Medilife Multispeciality Hospital And Icu,"Near Jyotiba Temple,,Alponsa School Road, Vijay 
Nagar,,KalewadiNIL",PUNE,MAHARASHTRA,PPN
"Metro Multi Speciality Hospital And I.C.U. Saundarya Colony,,Nakhate Wasti, Rahatni Pimpri,,Next To","Hotel Sitara,",Pune,MAHARASHTRA,PPN
Moraya Hospital,"Gauri Apt., Dapodi,,Pimplegurav Road,,Dapodi",Pune,MAHARASHTRA,PPN
Navkar Multispeciality Hospital,"293, Pune Nashik Highway, Behind Indian Overseas 
Bank,,Talegaon Chowk, Chakan,,Khed",Pune,MAHARASHTRA,PPN
New Life Child Care Clinic And Hospital,"Opp. D-Mart, Kalewadi,,,Pimpri,",Pune,MAHARASHTRA,PPN
Orchid Speciality Hospital,"Survey No.282/3/3,Porwal Road,Off Dhanori Jakat 
Naka,Lohegoan",Pune,MAHARASHTRA,PPN
Oyster And Pearl Hospital Pvt Ltd,"1671-75, Ganesh Khind Road, Shivajinagar, Pune",PUNE,MAHARASHTRA,PPN
Pawana Hospital,"Somatne Phata,,Taluka - Maval,PuneNIL",PUNE,MAHARASHTRA,PPN
Phoenix Hospital(Pune),"Op. Rhythm Soc,,Kalewadi Phata, Near Raghunadan 
Hotel,,ThergoanPimpri,",PUNE,MAHARASHTRA,PPN
Pulse Multispeciality Hospital,"Sr.No. 51/7/B/1, 1st Floor, Vishwa Arcade,,Opp. Deccan 
Pavillion Hotel, Mumbai Bang. Highway, Narhe, Ambegaon, 
Pune,",Pune,MAHARASHTRA,PPN
Sahyadri Hospital (Bopodi),"S No 10 A/3 A Old Puna Bombay Highway,Bopodi Police 
Chowki,BopodiNIL",PUNE,MAHARASHTRA,PPN
Sahyadri Hospital (Hadapsar),"G & G Tower, Survey No. 153/A,,Hissa No. 1 To 4121, 
Magarpatta,Solapur Road,HadapsarNIL",PUNE,MAHARASHTRA,PPN
Sahyadri Hospital Kothrud,"Plot No 9b, Neena Society, Survey No 148,,4 A B, Paud 
Road, Opposite Vanaz, Kothrut",PUNE,MAHARASHTRA,PPN
"Sahyadri Speciality Hospital (Karve Road) Plot No. 30 C, Lane No. 1, Erandawane,,Prabhat Road, Nr.","Tilak Tank, Bhd Bank Of Baroda, Deccan Gymkhana,,Karve 
RoadNIL",PUNE,MAHARASHTRA,PPN
"Sahyadri Speciality Hospital (Nagar 
Road)","Near Hermes Heritage, Shastri Nagar, Nagar Road, 
Yerawada",PUNE,MAHARASHTRA,PPN
Sainath Hospital,"Sector No.4, Pune-Nashik Highway, Moshi",PUNE,MAHARASHTRA,PPN
Saiseva Hospital,"1st Floor, Kazi Complex,,Mahatma Phule Chawk,,Chakan",Pune,MAHARASHTRA,PPN
"Sant Dnyaneshwar Hospital (A Unit Of 
Sant Dnyaneshwar Medical Foundation)","Sant Nagar, Sector No-4,,Spine Road, Moshi 
Pradhikaranpune-Nashik Highway,,Moshi,",Pune,MAHARASHTRA,PPN
"Sathe Hospital( A Division Of Harmony 
Health Services Pvt Ltd)","759/4 Deccan Gymkhana,,Above Post Office,,PuneNIL",PUNE,MAHARASHTRA,NON PPN
"Shaishav Childrens Hospital And 
Research Center Pvt Ltd","695 / A, Sadashiv Peth,,Laxmi Road, Opp. Vijay 
Talkies,,PuneNIL",PUNE,MAHARASHTRA,PPN
Shivkrupa Multispeciality Hospital,"Chatrapati Shivaji Chowk, Near Bus Stop,,Dehu Moshi Road, 
Chikhali Gaon,Tal - Haveli",Pune,MAHARASHTRA,PPN
"Shree Hospital Criticare And Traume 
Center Pvt Ltd","S.No.7/3/B,Gulmohar Society,Kharadi",Pune,MAHARASHTRA,PPN
Shwas Multispeciality Hospital,"A/P Chakan, Medankar Wadi,,Mega Center Building,Chakan",Pune,MAHARASHTRA,PPN
Surya Sahyadri Hospital,"Near Corporation,1317,Kasba Peth,Shivaji Nagar,Kasba 
PethNIL",PUNE,MAHARASHTRA,PPN
Tulip Hospitals Pvt Ltd,"402/A, Gokhale Nagar,,Off Senapati Bapat Rd,Near Dominos 
Pizza",Pune,MAHARASHTRA,PPN
Unique Multispeciality Hospital,"205/1 Anandtara Palekar Niwas,,Near Basket Bridge,,Ravet",Pune,MAHARASHTRA,PPN
Vighnaharta Hospital(Pune),"Plot no 5 Mahesh Society Chowk, Opposite Bibawewadi 
Petrol Pump, Pune, Maharashtra 411037Pune",PUNE,MAHARASHTRA,PPN
Vinod Memorial Multispeciality Hospital.,"Cts No 285,Sr No 113,,Alandi Road, Vishrantwadi,,PuneNIL",PUNE,MAHARASHTRA,PPN
Nawale Hospital,Pune Nagar Road Fadai Chowk Wagholt PunePune,PUNE,MAHARASHTRA,NON PPN
Sankalp Multispecialty Hospital,Godambe Corner Tapkir Mala Road Rahatani PunePune,PUNE,MAHARASHTRA,NON PPN
Ayushri Multispecialty Hospital,Samadhan Chowk Pimprigaon Pimpri PunePune,PUNE,MAHARASHTRA,NON PPN
"Dr DY Patil Medical College, Hospital and 
Research Centre","Pimpri, Sant Tukaram Nagar, Pune, Maharashtra 
411018Pune",PUNE,MAHARASHTRA,PPN
Jupiter Life Line Hospitals,"Near Prathamesh Park, Baner, Pimple Nilkh Road, Pune",PUNE,MAHARASHTRA,PPN
Vishwaraj Hospital,"Solapur Road, Rajbaug, Loni Kalbhor, Pune, Maharashtra 
412201Kalbhor",PUNE,MAHARASHTRA,PPN
Ashtvinayak Hospital,"Plot No LC 1, Sector No.9,, Near Spine City Mall,Near 
Bhosari MIDC Polic Station, Santnagar Moshi, Pradhikaran 
Pune 412105, pune, Maharashtra 412105Pune",PUNE,MAHARASHTRA,PPN
"Chellaram Hospital Diabetes Care And 
Multispecialty","Pune Bangalore Highway, Lalani Quantum, Bavdhan 
Budruk, Pune, Maharashtra 411021Pune",PUNE,MAHARASHTRA,PPN
"Apollo Spectra Hospital A Unit Of Apollo 
Specialty Hospital","Opposite Sanas Sports Ground Saras Baug Muncipal Colony 
Maharashtra Pune",PUNE,MAHARASHTRA,NON PPN
Citi Care Hospital Pimpri,"Shubam gallery, next to chroma, near pimpri bridge, Pimpri-
Chinchwad, Maharashtra 411018Pimpri",PUNE,MAHARASHTRA,PPN
Jivan Rekha Multispeciality Hospital,"Sr.28 Prabhu Complex,In front of Repulic School,, Old 
Mumbai Pune Highway, Dehu Road, Maharashtra 
412101Pune",PUNE,MAHARASHTRA,PPN
Sarvadnya Hospital,"244, Sable Heights, Alandi Dehu Road, Moshi, Pune - 
412105 Pune",PUNE,MAHARASHTRA,PPN
Apple Hospital,"Vishal Nagar, Near Jagtap Dairy Bajaj Service Centre, Aundh 
Hinjewadi Wakad Link Road",PUNE,MAHARASHTRA,NON PPN
Avan Multispeciality Hospital,"1st floor, Mukai Complex above, Vijaya Bank, Sinhagad 
Road Khadakwasla, Haveli,",PUNE,MAHARASHTRA,PPN
Ayush Multispeciality Hospital,"Main Road, Santoshi Mata Chowk, Nehru Nagar, Pimpri, 
Pimpri-Chinchwad, Maharashtra 411018Near Seva Vikas 
Bank",PUNE,MAHARASHTRA,PPN
Oyster And Pearl Hospital Pvt Ltd,"402/A, Off Senapati Bapat Road, Shivaji Co operative 
Housing Society, Bhageerath, Gokhalenagar, Pune, 
Maharashtra 411016Pune",PUNE,MAHARASHTRA,PPN
Nucare Hospital,"131/9,Opp Orchid School, Balewadi Phata, BanerBaner",PUNE,MAHARASHTRA,PPN
Yashorahi Multispeciality Hospital,"Shivkamal Prestige, Dangat Vasti,Shivane,",PUNE,MAHARASHTRA,PPN
Apex Hospital,"13/12 PAWAR NAGAR THERGAON NR RHYTHM 
SOCIETY,Thergaon",PUNE,MAHARASHTRA,PPN
Shri Siddhivinayak Criticare Hospital,"SOURABH COMPLEX, ABOVE CANARA BANK, 2 ND FLOOR, 
SHINDAWANE ROAD, URULIKANCHAN.nil",PUNE,MAHARASHTRA,PPN
Jeevan Rakshak Hospital,"S.N.1041/2335 KHANDAVE NAGAR ROAD ,WAGHOLI,nil",PUNE,MAHARASHTRA,PPN
Panortho Multispeciality Hospital,"01- Bldg, Riddhi Capita, Plot No. F11, Sect. No.26 
A.D.C.PCNTDA,Nigdi,",PUNE,MAHARASHTRA,PPN
Deoyani Multispeciality Hospital,"Plot No.121, Lane No. 4, Dahanukar Colony,Kothrud",PUNE,MAHARASHTRA,PPN
Ashtavinayak Hospital,"Plot No.1, Sec-9, Sant Nagar, Spine Road,Moshi",PUNE,MAHARASHTRA,PPN
Niramaya Hospital Pvt Ltd,"Behind Jai Hind Petrol Pump, Next to Chinchwad (E) Post 
Office, Chinchwad,nil",PUNE,MAHARASHTRA,PPN
Global Hospital And Research Institute,"577/2, Near Dattawadi Police Chowky, Off Sinhagad Road, 
Dattawadinil",PUNE,MAHARASHTRA,PPN
Unique Childrens Hospital Pvt Ltd,"Hira Moti Fortune, Mumbai-Pune Road, Opp. to Police 
Station,Near To Chicwad Railway Station,",PUNE,MAHARASHTRA,NON PPN
"Saishree Hospital and Joint Replacement 
Centre","No. 157,ct sno .1104/03,plot no 26,Dp road near dav 
school,aundh,nil",PUNE,MAHARASHTRA,PPN
Icon Hospital,"Tower line Corner, Talawade Rod, Triveninagar,Nigdi,",PUNE,MAHARASHTRA,PPN
Sparsh Hospital Pune,"Sparsh Hospital, Sr.no.353, Emerald Building, Parandwadi 
Road, Somatane Phata, Maval,Talegaon Dabhade,",PUNE,MAHARASHTRA,PPN
Jaihind Hospital,"2293/1/3.A/P-ABHISHEKH BUILDING CHAKAN SHIKRAPUR 
ROAD, CHAKAN,Khed,",PUNE,MAHARASHTRA,PPN
Moraya Multispeciality Hospital,"Power House Chowk, Opposite PMT Bus Stop, Chinchwad,nil",PUNE,MAHARASHTRA,PPN
Mhatre Accident Hospital,"Line Ali Shivaji Road, Opp S.T.Stand, Panvel,NIL",RAIGAD,MAHARASHTRA,PPN
Dandekar Hospital Panvel,"I st floor,commercial premises,vasant kunj Hsg. society, Dr 
Ambedkar roadPanvel",RAIGAD,MAHARASHTRA,PPN
Shelar Hospital & ICU,"Tulsi Perana CHS, Sector-1, Plot No-9, Khanda Colony,lNew 
Panvel",RAIGAD,MAHARASHTRA,PPN
Sukham Hospital,"Behind Ganesh Temple, Karanjade, Tal-Panvel, Raigad",RAIGAD,MAHARASHTRA,NON PPN
Chirayu Children Hospital,"Neel Enclave, 3rd & 4th floor, Sec-9, Near fly over, Khanda 
Colony, New Panvel (W)",RAIGAD,MAHARASHTRA,PPN
Gandhi Hospital Panvel,"142, M. C. C. H. Society,,Nr. Kohinoor Technical 
Institute,Panvel,",RAIGAD,MAHARASHTRA,PPN
"Lifecare Multispeciality Hospital And 
Nursing Home","Shop No. 1,2,18, A-101,,Om Aaiji Darshan Complex, 169/0, 
Vichumbe,,New PanvelNIL",RAIGAD,MAHARASHTRA,PPN
Sparsh Superspeciality Hospital,"141, Sai Arcade, Mission Compound,,Line Ali, Opp Orion 
Mall,,PanvelNIL",RAIGAD,MAHARASHTRA,PPN
Veer Hospital And Icu,"Neel Enclave Building 2nd Floor Plot No 1 Sector 9,Khanda 
Colony,Navi PanvelNIL",RAIGAD,MAHARASHTRA,PPN
Mathoshree Multispeciality Hospital,"Shop No-10/11/ 14/15, Trupati Icon, Plot No 425, Sector 20, 
Near Central Bank , kamothe- Raigad- Raigad",RAIGAD,MAHARASHTRA,PPN
"Prachin Healthcare Multispeciality 
Hospital","Plot No. 69/2, Thana Naka, Near Hotel Garden, Panvel nil",RAIGAD,MAHARASHTRA,PPN
Om Hospital Cardiac Medical Centre,"B - 9, Poonam Nagar, Shanti Park,Phase - I I I ,Mira 
Road(E)Bhayandhar,",THANE,MAHARASHTRA,NON PPN
Jupiter Life Line Hospitals Ltd,"Opp. Flower Valley,Eastern Express Highway,ThaneThane",THANE,MAHARASHTRA,PPN
Dandekar Hospital ( Dombivili ),"B-51/ 135/136/ 235/ 236 , kasturi Plaza , Manpada, 
Dombivali €- 421201NIL",THANE,MAHARASHTRA,PPN
Tanwar Hospital,"Tanwar Tower, Near Hotel Sonali,,P. K. Road, Off Mira 
Bhayandar Road,,Mira Road(E)NIL",THANE,MAHARASHTRA,PPN
Mahesh Hospital,"Balaji Apartment, 1st Floor,,Above Bank Of Baroda, Poona 
Link Road,,Kalyan(E)",Thane,MAHARASHTRA,NON PPN
Kalpana Lifeline Hospital,"Plot No.16, Ambadi Road, Opposite Akshay Hotel, Vasai 
(W)nil",THANE,MAHARASHTRA,PPN
"Pranjali Maternity Surgical And General 
Hospital","MAHAKALI ARCADE,VEER SAVARKAR 
NAGAR,OPP.R.J.THAKUR COLLEGE.BEHIND THANE-
400606NIL",THANE,MAHARASHTRA,NON PPN
Orthocare Hospital,"1st Floor, Gautam Chambers,,Near Khopat Shiv Sena 
Shakha, Khopat,Thane(W)NIL",Thane,MAHARASHTRA,PPN
"Ashirwad Maternity And General 
Hospital, Bhayndar","Samir Apartment, Sec-K7, A, Jesal Park, Bhayander(E) , 
MumbaiBhayander",THANE,MAHARASHTRA,PPN
Ishwar Criticare Hospital LLP,"Ishwar Hospital ,Sundar Apt., ,,Dr R.P.Road. 
Ramnagar,Dombivli (E)",THANE,MAHARASHTRA,PPN
Riddhi Vinayak Multispeciality Hospital,"Plot No-302, Near Railway Carshade, Yashwant Gaurav 
Road,,Virar Nallasopara Link Road,,Nallsopara (W)NIL",THANE,MAHARASHTRA,PPN
Chirayu Superspeciality Hospital,"Ground Floor, Vimal Deep, Sarvoday Paradise 
Complex,,Behind Balaji Hospital, Mira -Bhayander 
Road,,Bhayander (E)BHAYANDER",THANE,MAHARASHTRA,PPN
Sai Hospital And Icu,"Hira Moti Shopping Centre,Second Floor,,Near 
Checknaka,Shivaji Nagar,Thane,Thane(W)NIL",THANE,MAHARASHTRA,PPN
Shree Ashirwad Hospital,"C-3/4,Shree Complex, Opposite Mahavir Nagar,Manpada 
Road,Dombivli(E)NIL",THANE,MAHARASHTRA,PPN
Om Hospital And Polyclinic ( Dombivili ),"COMMERCE CENTRE,1ST FLOOR FIRST, TANDAN 
ROAD,RAMNAGAR,NEAR S.K.PATEL SCHOOL,DOMBIVLI - 
EASTDombivali",THANE,MAHARASHTRA,PPN
Aashirwad Hospital (Kalyan),"Om Shraddha Tower, Above Tdcc Bank,,Poona Link Road, 
Tisgaon,,Kalyan(E)NIL",Thane,MAHARASHTRA,PPN
"Kaushalya Medical Foundation Trust 
Hospital","GANESHWADI, PANCHPAKHADI, BEHIND NITIN COMPANY, 
THANE WESTNIL",THANE,MAHARASHTRA,PPN
Kalsekar Hospital,"Dawle Village, Kausa Mumbra, Opposite Kalsekar Degree 
College, Near Bharat Gear, Mumbra",THANE,MAHARASHTRA,PPN
Phadke Hospital,"Par Naka, Gaurav Prasad Co-Op Hsg. Soc. Ground 
Floor,,Opp. Gajanan Maharaj Mandir,Kalyan(W)NIL",THANE,MAHARASHTRA,PPN
Sahil Hospital,"First floor, tawadw Niwas, Opp TjSB, bank Kopat Thane 
WestNIL",THANE,MAHARASHTRA,PPN
Shreedevi Hospital,"Akash Arcade, Near Bhanu-Sagar Talkies,,Valipir 
Road,,Kalyan(W)Kal",Thane,MAHARASHTRA,PPN
Prakruti Hospital (Thane),"SIDDHESHWAR ACRADE, OPP.MANISHA NAGAR GATE 
NO.1, KALWA THANENIL",THANE,MAHARASHTRA,PPN
Kevalya Hospital,"Siddhi Apartment,,Near Vijay Garden, Ghodbunder 
Road,,Thane(W)Thane",Thane,MAHARASHTRA,PPN
Thunga Hospital Pvt Ltd,"MIRA BHAYANDER ROAD, MIRA ROAD EASTNIL",THANE,MAHARASHTRA,PPN
"Orbit Super Speciality Hospital And 
Accident Centre","WESTERN EXPRESS HIGHWAY,OPP AMAR PALACE HOTEL 
NEAR DAHISER CHEK NAKA MIRA ROADNIL",THANE,MAHARASHTRA,PPN
Dr Thakurs Shree Hospital,"1st & 2nd Floor, Sukh Laxmi Building, Ashram Road, Shree 
Nagar, Opposite Tata Fision, Shreenagar Waghale,Kamothe",THANE,MAHARASHTRA,PPN
Dhanvantari Hospital (Thane),"Radhagovind Park -C Bldg. Co-Op. Soc.Ltd. Uttan Road,Near 
Police Station,Bhayander WestBhayandar",THANE,MAHARASHTRA,PPN
"Vijay Vallabh Hospital And Medical 
Research Centre","43, Tirupati Nagar Phase -1,,Bolinj,,Palghar,Trirupati 
Nagar,Virar",THANE,MAHARASHTRA,PPN
"Vijayalaxmi Maternity, Surgical & General 
Hospital","A/101-104,Savita Appartment,near new kanchan 
school,nallasopara., Nallasopara (E)Nalasopara",THANE,MAHARASHTRA,PPN
Bethany Hospital (Thane),"Pokhran Road No. 2, ThaneThane",THANE,MAHARASHTRA,PPN
Sai Aashirwad Hospital,"101/104,A wing,Ratnadeep building,navghar 
road,Bhayander (E), Bhayanderbhayander",THANE,MAHARASHTRA,PPN
"Siddhivinayak Maternity And General 
Hospital","S-1, Second Floor, Vedant Complex,,Above Ntsarg 
Hotel,,Vartak Nagar,Thane",THANE,MAHARASHTRA,PPN
Rathod Hospital,"201&202, Motibhai Tower, Near Vaishali Cinemas, 
Bazarpeth. , ThaneBadlapur",THANE,MAHARASHTRA,PPN
Bijankur Hospital Pvt. Ltd,"Near Anand Park,Navare Nagar Road, 
Ambernath(E)Ambernath",THANE,MAHARASHTRA,PPN
Khadakpada Multispeciality Hospital,"Swami Prasad,1st Floor,Bldg.3,Shelar Park,Above More 
Mall,Khadakpada Circle,Kalyan (WEST)-421301 , 
ThaneKalyan",THANE,MAHARASHTRA,PPN
Nulife Hospital,"2,3 Balkrishna CHS, Opp Tilak Nagar P.O 
Dombivli(E)Dombivali",THANE,MAHARASHTRA,PPN
Dr Thakurs Vedant Hospital,"1st Floor, Panchratna Tower, Opp Cinemax, Khadakpada, 
Kalyan WestKalyan",THANE,MAHARASHTRA,PPN
"Aarogya Multispecialty Hospital And 
Trauma Centre","Herambha Heiaghts Ground Floor Old Mumbai Pune Road 
ThaneThane",THANE,MAHARASHTRA,PPN
Aarogyadhan Hospital,"Grd. Floor, Janki Tower,Rajdhani Apartment., Kisan Nagar 
No. 2,,Near Balsara Company, Wagle Estate,Kalwa",THANE,MAHARASHTRA,PPN
Aarogyam MultiSpeciality Hospital,"Renuka Building, Opp.Mangala High School,,Nr. Thane 
Railway Station,NIL",THANE,MAHARASHTRA,PPN
"Aarogyam Multi Speciality Hospital And 
Iccu","Sripat Smurti Building, 1st Floor,,Opp, Bank Of Baroda, Star 
Colony, Manpada Road,,Dombivali(E),NIL",THANE,MAHARASHTRA,PPN
Aayush Hospital(Thane),"Bldg No.E-2, 2nd & 3rd Flr, Radha Nagar Shopping 
Complex, Radha Nagar,,Opp. Radha Nagar Police Chowki, 
Khadakpada,,Kalyan (W)NIL",THANE,MAHARASHTRA,PPN
Alliance Hospital,"Near Atmavallabh Society,Tulinj,Nallasopara(E)NIL",THANE,MAHARASHTRA,PPN
"Am Pm 24 Hrs Hospital Multispeciality 
Trauma And Research Centre","2nd Floore,Om Suprem, Above Dominos,,Near Dmart, Opp. 
H.P. Petrol Pump,,Old Bail Bazar,Kalyan,",THANE,MAHARASHTRA,PPN
Anish Hospital(Thane),"3,4 Grd Floor,Piyush Co.Op.Hsg.Pandurang Wadi 1st 
Lane,Manpada Road Dombivali(E),Dombivali(E)NIL",THANE,MAHARASHTRA,PPN
Apex Hospital,"1st Floor, Janki Smruti Building,Ghanshyamgupte 
Road,Dombivli (E)",Thane,MAHARASHTRA,PPN
Apex Hospital(Kalyan),"Shivtirth Apartment, Grount Floor,,Parnaka,,Kalyan(West)",Thane,MAHARASHTRA,PPN
Arth Hospital,"1st Flr, Saishwar Darshan, Opp. Corporation Bank,,Nr. 
Achole Talaw, Achole Rd,,Nalasopara (E),",Thane,MAHARASHTRA,PPN
Asha Hospital,"1st Floor, Rajalaxmi Complex,,Thane -Bhiwandi Road, Opp 
Jai Mata Di Compund ,,Kalher,NIL",THANE,MAHARASHTRA,PPN
Ashirwad Hospital (Bhiwandi),"2nd Floor R. K. Business Centre,,Above Torrent Power 
Customer Care, Kalyan Naka,,Bhiwandi",Thane,MAHARASHTRA,NON PPN
Balaji Hospital Bhayandar,"Golden Nest, Phase V I,,Mira - Bhayander 
Road,,Bhayander(E)NIL",THANE,MAHARASHTRA,PPN
Balaji Hospital-Thane,"Sai Dham App,,1st Floor ,Nr Ideal School,NIL",THANE,MAHARASHTRA,PPN
Cardinal Gracias Memorial Hospital,"Banglinaka Sandor,P.O. Vasai,Opp. Lodha Woods,Vasai 
Road",Thane,MAHARASHTRA,PPN
"Criticare Superspeciality Hospital( Thane 
)","Between Hotel Royal Challange Ii And,Cadbury'S 
Limited,Eastern Express Highway,ThaneNIL",THANE,MAHARASHTRA,PPN
Crystal Hospitals Ltd (Dahisar),"Waman Rao, Sawant Marg,,Nr.Ramkrishna Hotel,,Maratha 
Colony Dahisar",Thane,MAHARASHTRA,PPN
Currae Gynaec Ivf Birthing Hospital,"Rosa Vista Bldg No.3 Opp Suraj Water Park,,Waghhill Naka 
Ghodbunder Road,,Thane(W)NIL",THANE,MAHARASHTRA,PPN
"Currae Speciality Hospital (A Unit Of 
Patni Healthcare Ltd)","Hisghstreet Cum Highland Corporate Cnter,,Ground 
Floor,Kapurbavdi Jumction,,Next To Big Bazar,NIL",THANE,MAHARASHTRA,PPN
Dr Godboles Heart Care Hospital,"M.G. Road , Naupada,,Opp Saraswati Marathi Medium 
School,NaupadaNIL",THANE,MAHARASHTRA,PPN
Dr Harne Hospital,"2nd Floor, Everest Shopping Centre,,Opp Rly 
Station,Dombivli (W)",Thane,MAHARASHTRA,PPN
Dr Uppals Ent Hospital,"2nd Floor, Mohan Heritage, Opp TMC, Almeida Road, Opp 
Panchpakhadi, Thane WNIL",THANE,MAHARASHTRA,PPN
Dr Bhanushali Hospital,"Kaushalya, Shivaji Path,,,Near Thane Railway Station",THANE,MAHARASHTRA,PPN
Dsouza Hospital,"Remedi, Dhowali,Near Church School,Vasai Road",Thane,MAHARASHTRA,PPN
"Gayatri Maternity And Ear Nose Throat 
Hospital","A - 4, Sector 4,,Shanti Nagar,Mira Road(E)NIL",THANE,MAHARASHTRA,PPN
Golden Park Hospital,"Behind Parvati Cinema, Sai Nagar,Navghar-Manickpur,Vasai 
Road(W)",Thane,MAHARASHTRA,PPN
Gurukrupa Hospital,"Poonam Arcade, 1st Floor, Sheetalka,,Sheetalgar,, 
Thane,Mira Road(E)",Thane,MAHARASHTRA,PPN
Gurukrupa Hospital And Polyclinic,"Savitri Apartment, B. P. Road, Saibaba Temple,,Bank Of 
Maharashtra,,Bhayander(E)NIL",THANE,MAHARASHTRA,PPN
Highland Super Speciality Hospital,"3rd Floor, Highland Park, Above Apollo Clinic,,Near D Mart, 
Kolshet Road, Dhokali,,Off. G. B. Road.(W)NIL",THANE,MAHARASHTRA,PPN
Highway Hospital,"First Floor,Dev Ashish,Marathon Square,E.E. Highway,Near 
Punjab Sind BankNIL",THANE,MAHARASHTRA,PPN
Holy Cross Hospital(Thane),"Karthik Road, Near Nutan Vidyalaya, Kalyan West,NIL",THANE,MAHARASHTRA,PPN
Horizon Hospital,"Malati Mohan Bunglow, M G Road,Opp Naupada Telephone 
Exchange,,Thane(W)NIL",THANE,MAHARASHTRA,PPN
Icon Multispeciality Hospital & ICU,"Gala No-5, Ground Floor, Jitendra Co-op Housing Society , 
near hariniwas Circle, Thane West -400602NIL",THANE,MAHARASHTRA,PPN
Jk Women Hospital,"1st 2nd Floor, Maitri Raghukul, Shahid Bhagart Singh 
Road,,Opp. Saraswati Bank, Dombivali East,,ThaneNIL",THANE,MAHARASHTRA,PPN
Jijai Women'S Hospital,"303, B-Wing, M. K. Plaza,,Anand Nagar, Near Hypercity 
Mall,,Ghodbunder Road,",Thane,MAHARASHTRA,PPN
Krishna Hospital (Vasai),"Prabhu Niwas, Meena Nagar, Ambadi Road, Vasai 
(w)Palghar,",THANE,MAHARASHTRA,PPN
Laxmi Hospital,"354, Shree Ganesh Complex, Above Tdc Bank,,Mumbai-
Nashik Expressway, Mankoli Naka Taluk,NIL",THANE,MAHARASHTRA,NON PPN
