Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code
Sparsh Hospital (Bangalore),BANGALORE,KARNATAKA,,,
Sparsh Hospital For Advanced Surgeries,BANGALORE,KARNATAKA,4.7,675,"XHMV+8W Bengaluru, Karnataka"
"Sparsh Super Speciality Hospital 
Yeshwanthpur",BANGALORE,KARNATAKA,4.7,11513,"2GHV+35 Bengaluru, Karnataka"
Sri Lakshmi Hospital,BANGALORE,KARNATAKA,4.5,570,
Sree Venkateshwara Speciality Hospital,Bangalore,KARNATAKA,5.0,1,"WMW6+M5 Bengaluru, Karnataka"
"Sree Vijayalakshmi Hospital And Trauma 
Care Centre",Bangalore,KARNATAKA,3.8,92,"2JPR+X9 Bengaluru, Karnataka"
Sreenivasa Hospital,Bangalore,KARNATAKA,3.6,146,"XHFF+72 Bengaluru, Karnataka"
Sri Maruthi Hospital,BANGALORE,KARNATAKA,3.9,79,"XHVF+3M Bengaluru, Karnataka"
Sri Raghavendra Hospital,Bangalore,KARNATAKA,5.0,3,
Sri Sai Krupa Hospital,Bangalore,KARNATAKA,4.5,98,"3H5J+MP Bengaluru, Karnataka"
Sri Sai Ram Hospital,BANGALORE,KARNATAKA,4.1,419,"VHV9+P8 Bengaluru, Karnataka"
"Sri Shankara Cancer Hospital And 
Research Centre",BANGALORE,KARNATAKA,4.1,1019,"XH3C+JF Bengaluru, Karnataka"
Sri Srinivasa Hospital (Anekal),Bangalore,KARNATAKA,4.4,23,"PM5X+Q8 Anekal, Karnataka"
Sri Venkateshwara Hospital (Bangalore),Bangalore,KARNATAKA,2.7,71,"WJR3+X2 Bengaluru, Karnataka"
Srinivasa Hospital (Hoskote Twon),Bangalore,KARNATAKA,3.0,122,"3QFP+J6 Hoskote, Karnataka"
St. Philomena'S Hospital,Bangalore,KARNATAKA,3.7,837,"XJ86+4C Bengaluru, Karnataka"
Suguna Hospital,BANGALORE,KARNATAKA,4.7,8150,"XHQ6+72 Bengaluru, Karnataka"
Sun Orthopaedic Hospital,BANGALORE,KARNATAKA,4.9,1848,"2HM3+8X Bengaluru, Karnataka"
"Svastha Hospital ( A Unit Of Jmp Health 
Care Llp)",BANGALORE,KARNATAKA,3.6,1660,
T.R.Hospital,Bangalore,KARNATAKA,2.7,110,"VHJM+7P Bengaluru, Karnataka"
The Life Plus Hospital,BANGALORE,KARNATAKA,4.6,1762,"XJGW+8R Bengaluru, Karnataka"
Trinity Hospital And Heart Foudation,BANGALORE,KARNATAKA,4.0,351,"WHVH+CP Bengaluru, Karnataka"
Udhbhava Hospital,Bangalore,KARNATAKA,2.8,220,"WGGX+7C Bengaluru, Karnataka"
V Care Hospital,Bangalore,KARNATAKA,2.9,627,"2H8W+9W Bengaluru, Karnataka"
V P Magnus Hospital-Bangalore,Bangalore,KARNATAKA,3.6,148,"3CR5+5F Nelamangala Town, Karnataka"
Vagus Superspeciality Hospital,BANGALORE,KARNATAKA,,,
Varalakshmi Hospital,Bangalore,KARNATAKA,4.2,285,"WJF8+RR Bengaluru, Karnataka"
Vasavi Hospital,BANGALORE,KARNATAKA,4.7,6622,"WH36+75 Bengaluru, Karnataka"
Vijayanagar Hospital,BANGALORE,KARNATAKA,4.5,2027,"XGCP+MV Bengaluru, Karnataka"
Vijayashree Hospitals (Jigani),Bangalore,KARNATAKA,4.4,1044,"QJHV+HP Jigani, Karnataka"
Vikram Hospital Bengaluru Pvt Ltd,BANGALORE,KARNATAKA,3.5,25,
Vinayaka Hospital (Bangalore),BANGALORE,KARNATAKA,4.1,664,"WGQX+2Q Bengaluru, Karnataka"
Vivekananda Hospital(Bannerghatta),Bangalore,KARNATAKA,3.1,96,"WJ22+2G Bengaluru, Karnataka"
Yashomati Hospitals Pvt Ltd,BANGALORE,KARNATAKA,,,
"Zion Hospitals And Research Centre Pvt 
Ltd",Bangalore,KARNATAKA,3.7,697,"2J7P+X6 Bengaluru, Karnataka"
"Apollo Specialty Hospital(Apollo Hospitals 
Enterprises Ltd) Jayanagar",BANGALORE,KARNATAKA,4.7,10360,"WHPM+JP Bengaluru, Karnataka"
"Apollo Hospital (A Unit Of Apollo Hospital 
Enterprises Ltd.)",BANGALORE,KARNATAKA,4.7,19353,"VHWX+G7 Bengaluru, Karnataka"
Sri Ram Hospital,BANGALORE,KARNATAKA,4.7,1894,"2M5V+FH Bengaluru, Karnataka"
Gangothri Hospital,BANGALORE,KARNATAKA,2.1,230,"WJ87+HG Bengaluru, Karnataka"
Marvel Multispecialty Hospital,BANGALORE,KARNATAKA,4.2,1035,"WJGP+59 Bengaluru, Karnataka"
Sreenagar Hospital,BANGALORE,KARNATAKA,3.4,53,"WHV4+P4 Bengaluru, Karnataka"
HK Hospital,BANGALORE,KARNATAKA,4.0,147,"WF5H+C9 Bengaluru, Karnataka"
Manjunath Hospital,BANGALORE,KARNATAKA,3.9,198,"WHXV+8H Bengaluru, Karnataka"
Manjushree Hospital,BANGALORE,KARNATAKA,4.4,129,"XJM6+2X Bengaluru, Karnataka"
